timestep,scenario,action,free_energy,expected_free_energy,belief_entropy,belief_0,belief_1,belief_2,belief_3
0,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
1,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
2,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
3,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
4,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
5,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
6,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
7,debug,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
