timestep,free_energy,timestamp
0,-1.5687561959189114,1770043459.154321
1,-1.42169008058018,1770043459.159384
2,-1.242450981259552,1770043459.1641312
3,-1.0729981305894243,1770043459.16852
4,-0.8971366086595434,1770043459.221041
5,-0.7718336823348484,1770043459.225963
6,-0.651077326654512,1770043459.230509
7,-0.41742742054584414,1770043459.234424
8,-0.35285562661573566,1770043459.238642
9,-0.310063355537497,1770043459.242904
10,-0.2799189130058426,1770043459.24704
11,-0.26761479765352925,1770043459.2512589
12,-0.24814394606726187,1770043459.2555342
13,-0.22826684674214293,1770043459.2594
14,-0.22446932760285376,1770043459.263131
15,-0.22324916748600065,1770043459.266867
16,-0.22170032070613654,1770043459.270928
17,-0.21980854421709206,1770043459.2750158
18,-0.2180303973717459,1770043459.2788658
19,-0.21692766281811005,1770043459.282722
20,-0.21766984902550646,1770043459.286506
21,-0.21509172102635898,1770043459.290412
22,-0.21290432844299367,1770043459.2942138
23,-0.21297544864445928,1770043459.298025
24,-0.21231267573383983,1770043459.30233
25,-0.21281238379386314,1770043459.30613
26,-0.21165578085549797,1770043459.310068
27,-0.21285188766530072,1770043459.313893
28,-0.21469035576215356,1770043459.317854
29,-0.21993440419112975,1770043459.321988
30,-0.22113279609002046,1770043459.3258922
31,-0.22126715896803084,1770043459.329924
32,-0.2222816373428118,1770043459.333885
33,-0.2268606465129055,1770043459.3376908
34,-0.2348422798992622,1770043459.3415701
35,-0.23412143840691968,1770043459.3453262
36,-0.24511143708480798,1770043459.349202
37,-0.25124034310917454,1770043459.353002
38,-0.26256675420618314,1770043459.356648
39,-0.27055885027633897,1770043459.3604531
