timestep,action
0,0
1,1
2,0
3,0
4,1
5,1
6,2
7,2
8,0
9,0
10,0
11,2
12,2
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,2
25,1
26,1
27,2
28,0
29,2
30,1
31,2
32,2
33,0
34,2
35,1
36,0
37,0
38,2
39,0
