timestep,scenario,action,free_energy,expected_free_energy,belief_entropy,belief_0,belief_1,belief_2,belief_3
0,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
1,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
2,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
3,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
4,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
5,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
6,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
7,ecological,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
