timestep,action
0,1
1,0
2,0
3,0
4,2
5,1
6,1
7,1
8,0
9,2
10,0
11,0
12,2
13,2
14,1
15,1
16,1
17,1
18,0
19,2
20,0
21,0
22,1
23,1
24,1
25,2
26,0
27,0
28,1
29,1
30,1
31,2
32,0
33,1
34,1
35,2
36,2
37,0
38,1
39,0
