timestep,free_energy,timestamp
0,-1.3961240823874,1770043042.321434
1,-1.3961240823874,1770043042.322689
2,-1.3961240823874,1770043042.323238
3,-1.3961240823874,1770043042.32374
4,-1.3961240823874,1770043042.32447
5,-1.3961240823874,1770043042.3250182
6,-1.3961240823874,1770043042.325521
7,-1.3961240823874,1770043042.326009
8,-1.3961240823874,1770043042.326484
9,-1.3961240823874,1770043042.326943
10,-1.3961240823874,1770043042.327394
11,-1.3961240823874,1770043042.327874
12,-1.3961240823874,1770043042.328351
