timestep,free_energy,expected_free_energy
0,15.884658808317312,66.5751355448558
1,16.782291353604602,53.375340951256824
2,18.044371163231126,44.087161002035955
3,19.331497703183324,38.07257869119197
4,20.427075605788744,34.511811369809614
5,21.178406051135433,32.71063681095118
6,21.504585228539398,32.217538852501406
7,21.41543233672659,32.73246240045623
