timestep,action
0,1
1,1
2,0
3,2
4,0
5,2
6,0
7,0
8,2
9,0
10,1
11,0
12,2
13,1
14,1
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,2
23,0
24,2
25,1
26,1
27,0
28,2
29,2
30,1
31,2
32,2
33,0
34,0
35,2
36,1
37,0
38,0
39,1
