timestep,free_energy,timestamp
0,0.058724728918090066,1752702163.5092456
1,0.0834390719092067,1752702163.5128453
2,0.10889905878536014,1752702163.5166578
3,0.1338366507623843,1752702163.5228198
4,0.15758810092059614,1752702163.526305
5,0.17985071640848777,1752702166.134389
6,0.20053532092642923,1752702166.1427915
7,0.2196750870050806,1752702166.1489904
8,0.23736895526764867,1752702166.1599035
9,0.2537467863731264,1752702166.1689808
10,0.2689483275531242,1752702168.4741378
11,0.28311097855004697,1752702168.4778476
12,0.2963631278528232,1752702168.4818695
13,0.30882096442402973,1752702168.4861722
14,0.3205874054032896,1752702168.4904764
15,0.3317522624336391,1752702170.705264
16,0.3423930868374747,1752702170.7084625
17,0.3525763428140344,1752702170.71172
18,0.3623586945322944,1752702170.7149916
19,0.3717882815697938,1752702170.718394
