timestep,action
0,[3]
1,[0]
2,[2]
3,[3]
4,[2]
5,[0]
6,[1]
7,[1]
8,[4]
9,[2]
10,[3]
11,[2]
12,[2]
13,[3]
14,[3]
15,[2]
16,[4]
17,[0]
18,[1]
19,[2]
