step,timestamp,free_energy,belief_entropy,belief_max
0,2026-02-02T06:36:00.753232,12.085801743176415,3.030366542208678,0.9601290077419099
1,2026-02-02T06:36:00.753715,13.124547928152479,1.533618776980743,0.9976859130481234
2,2026-02-02T06:36:00.754171,15.48647600546731,1.7810209223771907,0.9977217001176406
3,2026-02-02T06:36:00.754622,12.641420687026471,1.9507898106949892,0.9991432191392491
4,2026-02-02T06:36:00.755079,13.33514656708654,1.3863358841093494,0.9991699471106563
5,2026-02-02T06:36:00.755546,15.431142108804632,1.9037430693473967,0.9999456872663623
6,2026-02-02T06:36:00.755989,14.083751295704197,1.7323506190278952,0.9999290698112239
7,2026-02-02T06:36:00.756431,14.293465218796644,1.6891043205723986,0.9991717682581455
8,2026-02-02T06:36:00.756873,13.27647948168503,3.0361436376111652,0.9800397740855208
9,2026-02-02T06:36:00.757329,12.090932078401536,2.297181523879969,0.9861142414235864
10,2026-02-02T06:36:00.757769,13.514240723672765,1.9235088370417146,0.9987591268852846
11,2026-02-02T06:36:00.758210,13.290237230129108,2.498638939190341,0.9995054761442386
12,2026-02-02T06:36:00.758649,13.18251375891171,1.4921403601959509,0.9999158554901751
13,2026-02-02T06:36:00.759222,14.717947734357423,0.7164333790644394,0.9995176581260462
14,2026-02-02T06:36:00.759774,15.483843688540418,1.7869539090441449,0.9996149232496591
15,2026-02-02T06:36:00.760248,15.03040294466186,1.355176338730869,0.9999599372475896
16,2026-02-02T06:36:00.760741,15.78677904265782,1.716627471148449,0.9998990005574072
17,2026-02-02T06:36:00.761194,14.793475721689429,3.0382636973602564,0.978041193371329
18,2026-02-02T06:36:00.761646,14.649553440429397,2.068500864168774,0.9970232467579574
19,2026-02-02T06:36:00.762089,13.100408410317915,2.8729938503721995,0.9834618761951547
