timestep,action
0,1
1,1
2,2
3,0
4,1
5,1
6,2
7,2
8,0
9,2
10,1
11,2
12,0
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,2
27,0
28,0
29,1
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,2
