timestep,free_energy,timestamp
0,-1.5261157026451515,1768001054.191765
1,-1.3682937774400803,1768001054.196202
2,-1.2146170820472153,1768001054.200427
3,-1.0859486554470892,1768001054.2038012
4,-0.9534637952326193,1768001054.207468
5,-0.8209292588360262,1768001054.211194
6,-0.70111452633175,1768001054.215445
7,-0.618431435440743,1768001054.219053
8,-0.5478342090826878,1768001054.222413
9,-0.510444969272315,1768001054.225707
10,-0.4268257701540754,1768001054.228947
11,-0.3853425148222871,1768001054.232252
12,-0.34627496650121614,1768001054.235543
13,-0.3351767585553569,1768001054.2394292
14,-0.3914894271694964,1768001054.242741
15,-0.3413686955045172,1768001054.246125
16,-0.32896101156178603,1768001054.2495801
17,-0.30388805178661493,1768001054.252796
18,-0.30271202292801713,1768001054.256138
19,-0.28876931183705534,1768001054.2602801
20,-0.2863429154013477,1768001054.2642062
21,-0.28987414506678966,1768001054.26801
22,-0.2885183898198358,1768001054.272492
23,-0.28188150619506414,1768001054.276762
24,-0.2741881290556931,1768001054.280989
25,-0.26974519823306853,1768001054.284302
26,-0.2806027156774873,1768001054.2875588
27,-0.27760693397789127,1768001054.290814
28,-0.26680107807861475,1768001054.295143
29,-0.27996584039226313,1768001054.2989628
30,-0.28742077822777423,1768001054.30259
31,-0.28862052877816513,1768001054.306509
32,-0.2891519721745337,1768001054.3098922
33,-0.31502881343882927,1768001054.313547
34,-0.33044409729606183,1768001054.317794
35,-0.350960448889837,1768001054.3216808
36,-0.4150989760544368,1768001054.325343
37,-0.4400855733903837,1768001054.328646
38,-0.5211429441182664,1768001054.331892
39,-0.5548484703851242,1768001054.335579
