0,1,2,3,4
0.22411416155018216,0.24774203614684737,0.12119609726828634,0.0921178371682664,0.3148298678664179
0.21868430274574108,0.24875681869179114,0.0755199325371889,0.03234572138738307,0.42469322463789577
0.21416006890856876,0.22354932565478505,0.03889196615937811,0.009839877634292784,0.5135587616429753
0.1617259938936572,0.1925896041914015,0.019078300216696157,0.004003967046932051,0.6226021346513131
0.12257179111036376,0.15119502582912586,0.011028936551103725,0.0012706623424126914,0.713933584166994
0.08868117041899348,0.11952575923659975,0.004842202965157278,0.0004516629644596023,0.7864992044147898
0.05989049060520935,0.09305181820315263,0.002198244056422424,0.00015446209662825006,0.8447049850385874
0.04546863258806073,0.07373846584342049,0.0009009438768424779,4.631627639123238e-05,0.8798456414152851
0.03608362026695871,0.05539902127694445,0.00034126471185959696,1.4230913249779198e-05,0.9081618628309874
0.031570375401528655,0.04588056901842771,0.00012752012287664272,3.6423299483975905e-06,0.9224178931272186
0.020683192180297433,0.030217422932893763,5.138175993842009e-05,1.3469756393727178e-06,0.9490466561512311
0.01822860134357744,0.01914579537429973,2.163206230082058e-05,3.662821349086043e-07,0.9626036049376872
0.013229104963742584,0.014347319235681383,8.360901847781614e-06,1.118097884818499e-07,0.9724151030889397
0.01426824112835004,0.008720524286829807,2.0593347634070886e-06,3.807706972032202e-08,0.977009137172987
0.029094013664938946,0.004958299056513091,4.762281344637406e-07,7.821613790182266e-09,0.9659472032287997
0.026786578984591747,0.0023069640366833325,2.1230003239737915e-07,2.295388150411643e-09,0.9709062423833045
0.02417448539298892,0.0016199668871369974,7.180713419028594e-08,6.547420745817445e-10,0.9742054752579978
0.01922167767124728,0.0008541012578041912,2.338902475676637e-08,2.5610383473246854e-10,0.9799241974258199
0.018655958341289962,0.0004541690343967357,8.525508628399418e-09,7.612416323588022e-11,0.9808898640226805
0.01598139296078212,0.00024412355722604423,3.178488273160378e-09,2.473326404679868e-11,0.9837744802787702
0.014511230122573852,0.00017893354473788942,1.014632543511443e-09,7.101876513893534e-12,0.9853098353109537
0.014964931227792189,0.0001227053171113819,2.8926735129696617e-10,2.0602384489732633e-12,0.9849123631637688
0.015149434528644388,7.482823061756749e-05,9.51997369930736e-11,5.854552616698076e-13,0.9847757371449528
0.014073136836371328,3.5358996495320474e-05,3.496151448211882e-11,1.928908102597139e-13,0.9858915041319789
0.012455774132736727,1.7351983151661926e-05,1.216636802012137e-11,6.7516586203846e-14,0.9875268738718777
0.011236236767833908,9.777155751596983e-06,4.2268809897948874e-12,2.1400666280871558e-14,0.9887539860721662
0.012450832676552004,5.9740204986582085e-06,1.1869774909944867e-12,6.313935659578354e-15,0.9875431933017561
0.012494695123329883,3.1068624735694183e-06,4.4165961543255387e-13,1.8144422654271165e-15,0.987502198013753
0.010642145708594751,1.9703427135831325e-06,1.4372189824249947e-13,5.920373871282803e-16,0.9893558839485475
0.01201851729515119,1.2314717569115297e-06,3.7441145809103844e-14,1.7928077714394572e-16,0.9879802512330542
0.013760417067885786,6.764394067721944e-07,9.126858138585541e-15,6.08727159628963e-17,0.9862389064926983
0.014891132721150613,3.776809678190885e-07,2.652478757851779e-15,1.885634121607627e-17,0.9851084895978789
0.014921110549496752,1.932063575789903e-07,6.260077089349316e-16,7.71001727711105e-18,0.985078696244145
0.020013931174148725,9.233843565920215e-08,1.5153693500769194e-16,2.473406913144328e-18,0.9799859764874155
0.02530837635258241,4.340214047116918e-08,3.4360445189247835e-17,8.84318227343006e-19,0.974691580245277
0.03255722159812632,1.9570829315268415e-08,8.87000347029264e-18,2.879500456242582e-19,0.9674427588310445
0.054772459257761495,8.320773767567685e-09,2.150101323825107e-18,7.707026971131341e-20,0.9452275324214647
0.0715740256977814,3.933444141776641e-09,6.345295628702104e-19,2.1054905395728803e-20,0.9284259703687745
0.1183376417385991,1.367750299872704e-09,1.257109436532715e-19,6.853331802084348e-21,0.8816623568936506
0.14856899198343834,7.033199538004536e-10,2.93748910853975e-20,2.0782802856715802e-21,0.8514310073132417
