timestep,belief_entropy,coherence,neighbor_correlation
0,1.3862943611158907,1.0,1.0
1,1.3862943611158907,1.0,1.0
2,1.3862943611158907,1.0,1.0
3,1.3862943611158907,1.0,1.0
4,1.3862943611158907,1.0,1.0
5,1.3862943611158907,1.0,1.0
6,1.3862943611158907,1.0,1.0
7,1.3862943611158907,1.0,1.0
