timestep,free_energy,timestamp
0,-1.5697832039866293,1770042962.842577
1,-1.429736325670002,1770042962.842861
2,-1.1980333896289348,1770042962.843102
3,-1.0421437424316478,1770042962.843332
4,-0.9015734137778726,1770042962.843551
5,-0.7778471002094004,1770042962.843777
6,-0.6689104312104772,1770042962.844003
7,-0.5402804474516067,1770042962.844207
8,-0.48184935508908344,1770042962.8444002
9,-0.41018008890937074,1770042962.844595
10,-0.359131310993966,1770042962.844799
11,-0.33144528734711187,1770042962.845014
12,-0.28506771981344414,1770042962.84521
13,-0.2684657592100148,1770042962.845527
14,-0.2596185849677166,1770042962.845848
15,-0.2559774080606616,1770042962.846111
16,-0.2524181498811384,1770042962.8463528
17,-0.2426419392947583,1770042962.8465679
18,-0.2333045377218308,1770042962.846764
19,-0.22848857876326245,1770042962.8469691
20,-0.22619318433362334,1770042962.847162
21,-0.21967931373133576,1770042962.847383
22,-0.2203240954361969,1770042962.847573
23,-0.2199625261454623,1770042962.8477728
24,-0.2227638989623606,1770042962.8479621
25,-0.22016272766592326,1770042962.84815
26,-0.2204952956464179,1770042962.8483589
27,-0.2221229309989039,1770042962.84856
28,-0.21821824675509838,1770042962.848744
29,-0.2202717094165303,1770042962.848999
30,-0.22287855385276845,1770042962.84933
31,-0.2275804041448215,1770042962.8495722
32,-0.236262743891821,1770042962.849775
33,-0.24389845869758098,1770042962.849969
34,-0.24671430124422944,1770042962.8501592
35,-0.26215737079441803,1770042962.850354
36,-0.27366916837028676,1770042962.8505652
37,-0.2894426862763231,1770042962.850753
38,-0.32478344093839673,1770042962.850938
39,-0.3672047592226022,1770042962.851126
