timestep,action
0,1
1,0
2,1
3,2
4,2
5,1
6,2
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,2
16,1
17,0
18,0
19,2
20,1
21,2
22,2
23,1
24,0
25,2
26,2
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,0
37,2
38,1
39,2
