timestep,scenario,free_energy,expected_free_energy,cell_count,edge_count,coherence,neighbor_correlation,belief_entropy
0,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
1,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
2,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
3,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
4,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
5,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
6,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
7,h3,1.3862943611158907,1.1090354888927125,7,12,1.0,1.0,1.3862943611158907
