cell,lat,lng,resolution,free_energy,expected_free_energy,belief_entropy,action,beliefs
8828308281fffff,37.773515097238146,-122.41827103692466,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
8828308283fffff,37.77935489072015,-122.42564046291344,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
8828308285fffff,37.775909784515555,-122.40787564835524,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
8828308287fffff,37.78175025546036,-122.41524515580565,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
88283082abfffff,37.78414482312691,-122.40484867027766,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
88283082b9fffff,37.78758972240421,-122.42261514007362,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
88283082bdfffff,37.789984967600844,-122.41221873586937,8,1.3862943611158907,1.1090354888927125,1.3862943611158907,0,"[0.25, 0.25, 0.25, 0.25]"
