timestep,action
0,[0]
1,[2]
2,[1]
3,[2]
4,[4]
5,[2]
6,[3]
7,[4]
8,[2]
9,[4]
10,[2]
11,[1]
12,[2]
13,[4]
14,[1]
15,[1]
16,[0]
17,[1]
18,[2]
19,[4]
