timestep,free_energy,timestamp
0,0.021659802895191316,1752755310.7425888
1,0.020238183066091636,1752755310.745536
2,0.04590981933038392,1752755310.7488177
3,0.08830236481112486,1752755310.7516186
4,0.14049332983953775,1752755310.7544653
5,0.19782643242495412,1752755313.8802905
6,0.25718796037801533,1752755313.8838236
7,0.3165290777925855,1752755313.8874242
8,0.3745388996990678,1752755313.8917181
9,0.43041668794884486,1752755313.8962338
10,0.4837117195577052,1752755316.4803565
11,0.5342103612968208,1752755316.4862194
12,0.5818564897331723,1752755316.4975054
13,0.6266956317205011,1752755316.503055
14,0.6688360330331014,1752755316.5144567
15,0.7084218119047216,1752755319.4925644
16,0.7456147220846105,1752755319.4971468
17,0.7805820232637017,1752755319.502878
18,0.813488655694609,1752755319.507105
19,0.8444924208319379,1752755319.510887
