timestep,free_energy,timestamp
0,-1.3961240823874,1770042956.677689
1,-1.3961240823874,1770042956.678832
2,-1.3961240823874,1770042956.67939
3,-1.3961240823874,1770042956.679785
4,-1.3961240823874,1770042956.680136
5,-1.3961240823874,1770042956.680615
6,-1.3961240823874,1770042956.681113
7,-1.3961240823874,1770042956.681587
8,-1.3961240823874,1770042956.681938
9,-1.3961240823874,1770042956.682274
10,-1.3961240823874,1770042956.682594
11,-1.3961240823874,1770042956.6829178
12,-1.3961240823874,1770042956.683239
