timestep,free_energy,timestamp
0,-1.3961240823874,1770043452.078996
1,-1.3961240823874,1770043452.079968
2,-1.3961240823874,1770043452.080589
3,-1.3961240823874,1770043452.081177
4,-1.3961240823874,1770043452.081748
5,-1.3961240823874,1770043452.082308
6,-1.3961240823874,1770043452.082871
7,-1.3961240823874,1770043452.0834272
8,-1.3961240823874,1770043452.083981
9,-1.3961240823874,1770043452.084534
10,-1.3961240823874,1770043452.0850828
11,-1.3961240823874,1770043452.085629
12,-1.3961240823874,1770043452.086184
