timestep,free_energy,timestamp
0,0.05647854219504054,1752702211.2866075
1,0.05939992122618453,1752702211.2874205
2,0.06359158864462731,1752702211.288122
3,0.06862390053731027,1752702211.288814
4,0.07212139286641604,1752702211.2894595
5,0.07573467224228564,1752702211.2900996
6,0.08098140676394018,1752702211.2907374
7,0.08672980614902186,1752702211.2911754
8,0.0903744246621087,1752702211.2915983
9,0.10090054123395735,1752702211.2919984
10,0.10989926741296105,1752702211.2923872
11,0.11533625430824677,1752702211.2929845
12,0.11855726200802061,1752702211.293368
13,0.13227288196964906,1752702211.293755
14,0.13334153899855372,1752702211.294136
15,0.13587716998775623,1752702211.2945156
16,0.13569594978647445,1752702211.2951066
17,0.1365304557361295,1752702211.2954953
18,0.13998553393353547,1752702211.2958844
19,0.13814373397011964,1752702211.2962756
20,0.1367779307616144,1752702211.2966597
21,0.13806131631722218,1752702211.297241
22,0.13950807889611944,1752702211.297622
23,0.1395787176532339,1752702211.2980018
24,0.1419074599931363,1752702211.2983866
25,0.14309941440073318,1752702211.2987678
26,0.1425920466862076,1752702211.299347
27,0.14075674672944088,1752702211.2997315
28,0.14141608428213265,1752702211.3001132
29,0.14155356942084615,1752702211.300499
30,0.14104588390681858,1752702211.3008893
31,0.14268761989709217,1752702211.3016276
32,0.14062197610251062,1752702211.3022487
33,0.14014428767173545,1752702211.3029826
34,0.13960060653654074,1752702211.3036134
35,0.1427919924086984,1752702211.3040383
36,0.14305357007620406,1752702211.3046904
37,0.14399842512986266,1752702211.305107
38,0.14586975707991087,1752702211.3055074
39,0.14834732013461582,1752702211.305914
