timestep,action
0,0
1,0
2,2
3,2
4,0
5,2
6,1
7,2
8,3
9,0
10,4
11,1
12,2
13,4
14,0
15,3
16,0
17,4
18,0
19,1
20,1
21,0
22,3
23,0
24,2
25,2
26,0
27,1
28,1
29,4
30,4
31,1
32,1
33,3
34,0
35,3
36,4
37,3
38,1
39,4
