timestep,action
0,[2]
1,[0]
2,[3]
3,[3]
4,[4]
5,[1]
6,[4]
7,[1]
8,[0]
9,[1]
10,[1]
11,[4]
12,[1]
13,[0]
14,[2]
15,[4]
16,[1]
17,[3]
18,[0]
19,[4]
