timestep,free_energy,timestamp
0,-1.5507996682264822,1768001236.406498
1,-1.407984348169053,1768001236.410696
2,-1.217411453280798,1768001236.4145439
3,-1.0411393423452302,1768001236.419074
4,-0.8792865296637808,1768001236.422724
5,-0.7065589680593083,1768001236.426823
6,-0.5594707676417372,1768001236.430537
7,-0.48427748223812905,1768001236.433666
8,-0.40731622135825485,1768001236.436794
9,-0.3302630386988341,1768001236.440233
10,-0.31922650899812544,1768001236.443372
11,-0.28496362694748134,1768001236.446622
12,-0.27367754721119275,1768001236.4503639
13,-0.2699737855987423,1768001236.4539928
14,-0.25299222002567,1768001236.457964
15,-0.24574672660986452,1768001236.461878
16,-0.23904194954061597,1768001236.465508
17,-0.23807412490378788,1768001236.468791
18,-0.2597164527330862,1768001236.472259
19,-0.2371572138997493,1768001236.475343
20,-0.23996583597283383,1768001236.4785311
21,-0.24472708303352886,1768001236.482347
22,-0.24415286782378587,1768001236.485646
23,-0.2461343820415529,1768001236.488941
24,-0.23766875190487302,1768001236.492743
25,-0.261251377633515,1768001236.496649
26,-0.24477581078491895,1768001236.500606
27,-0.24340857895717205,1768001236.504229
28,-0.24965371161734673,1768001236.508197
29,-0.2552207055491238,1768001236.512033
30,-0.25374385941034316,1768001236.515445
31,-0.24347225448304344,1768001236.518702
32,-0.2533994923716314,1768001236.5219111
33,-0.2600611565353934,1768001236.525354
34,-0.2697801959860362,1768001236.529175
35,-0.2794735347895656,1768001236.5328739
36,-0.2919807412758031,1768001236.5364008
37,-0.31753784691594444,1768001236.539496
38,-0.3253149150752155,1768001236.54273
39,-0.33013524842608155,1768001236.5462132
