hex_id,score
88281c8e51fffff,1.0
88281c8e57fffff,1.0
88281c8e53fffff,1.0
88281c8e0bfffff,1.0
88281c8e1dfffff,1.0
88281c8e15fffff,1.0
88281c8e3bfffff,1.0
88281c8e11fffff,1.0
88281c8e39fffff,1.0
88281c8e03fffff,1.0
88281c8e17fffff,1.0
88281c84ebfffff,1.0
88281c84e1fffff,1.0
88281c84e3fffff,1.0
88281c84e7fffff,1.0
88281c84e9fffff,1.0
88281c84e5fffff,1.0
88281c84edfffff,1.0
88281ca16dfffff,1.0
88281cb893fffff,1.0
88281cb897fffff,1.0
88281ca169fffff,1.0
88281cb8bbfffff,1.0
88281cb891fffff,1.0
88281cb895fffff,1.0
88281cb9b3fffff,1.0
88281cb9b5fffff,1.0
88281cb9bdfffff,1.0
88281cb9bbfffff,1.0
88281cb9b9fffff,1.0
88281cb9b7fffff,1.0
88281cb9b1fffff,1.0
88281c148bfffff,1.0
88281c14d7fffff,1.0
88281c14d3fffff,1.0
88281c1499fffff,1.0
88281c14d1fffff,1.0
88281c149dfffff,1.0
88281c14d5fffff,1.0
88281ca107fffff,1.0
88281ca105fffff,1.0
88281ca10bfffff,1.0
88281ca10dfffff,1.0
88281ca103fffff,1.0
88281ca101fffff,1.0
88281cb033fffff,1.0
88281cb017fffff,0.6000000000000001
88281cb03bfffff,1.0
88281cb039fffff,1.0
88281cb0edfffff,0.8
88281cb015fffff,1.0
88281cb031fffff,1.0
88281cb137fffff,1.0
88281cbacbfffff,1.0
88281cbac9fffff,1.0
88281cbaddfffff,1.0
88281cb135fffff,1.0
88281cbac1fffff,1.0
88281cb155fffff,1.0
88281cb151fffff,1.0
88281cb10bfffff,1.0
88281cb143fffff,1.0
88281cb157fffff,1.0
88281cb109fffff,1.0
88281cb15dfffff,1.0
88281caa11fffff,1.0
88281caa17fffff,1.0
88281caa13fffff,1.0
88281caa1bfffff,1.0
88281caacdfffff,1.0
88281ca955fffff,0.2
88281ca94bfffff,1.0
88281ca951fffff,0.4
88281ca959fffff,1.0
88281cab37fffff,1.0
88281ca95dfffff,0.8
88281ca943fffff,0.6000000000000001
88281cb969fffff,1.0
88281c8c93fffff,1.0
88281c8c91fffff,1.0
88281c8c95fffff,1.0
88281c8c97fffff,1.0
88281cb96dfffff,1.0
88281c8cbbfffff,1.0
88281c14dbfffff,1.0
88281cab29fffff,1.0
88281cab2dfffff,1.0
88281cab21fffff,1.0
88281cab67fffff,1.0
88281cab25fffff,1.0
88281c8db5fffff,1.0
88281c8db9fffff,1.0
88281c8dbbfffff,1.0
88281c8dbdfffff,1.0
88281c8db7fffff,1.0
88281c8db1fffff,1.0
88281ca855fffff,1.0
88281ca809fffff,1.0
88281ca841fffff,1.0
88281ca84bfffff,1.0
88281ca847fffff,1.0
88281ca85dfffff,1.0
88281ca843fffff,1.0
88281c158dfffff,1.0
88281c15c7fffff,1.0
88281c1589fffff,1.0
88281c1581fffff,1.0
88281c15e3fffff,0.6000000000000001
88281c15ebfffff,0.8
88281c1585fffff,0.6000000000000001
88281cb195fffff,1.0
88281cb1b1fffff,1.0
88281cb1bbfffff,1.0
88281ca1b5fffff,1.0
88281ca1b3fffff,1.0
88281ca1b1fffff,1.0
88281caf5dfffff,0.6000000000000001
88281caf4bfffff,1.0
88281caf59fffff,0.8
88281ca1b7fffff,1.0
88281c8415fffff,1.0
88281c8431fffff,1.0
88281c8433fffff,1.0
88281c8439fffff,1.0
88281c843bfffff,1.0
88281c8417fffff,1.0
88281c16a3fffff,1.0
88281c14c9fffff,1.0
88281c16a7fffff,1.0
88281c14cdfffff,1.0
88281c16a1fffff,1.0
88281c16a5fffff,1.0
88281c141bfffff,1.0
88281c8ecbfffff,1.0
88281c8ec9fffff,1.0
88281c8535fffff,1.0
88281c8537fffff,1.0
88281c8ec1fffff,1.0
88281c8eddfffff,1.0
88281c8509fffff,1.0
88281c8543fffff,1.0
88281c8551fffff,1.0
88281c8557fffff,1.0
88281c850bfffff,1.0
88281c855dfffff,1.0
88281c8555fffff,1.0
88281cba39fffff,1.0
88281cba15fffff,1.0
88281cba3bfffff,1.0
88281cba11fffff,1.0
88281cba03fffff,1.0
88281cba17fffff,1.0
88281cb909fffff,1.0
88281cb957fffff,1.0
88281cb91dfffff,1.0
88281cb90bfffff,1.0
88281cb901fffff,1.0
88281cb903fffff,1.0
88281cb955fffff,1.0
88281cbb1bfffff,1.0
88281cba25fffff,1.0
88281cba21fffff,1.0
88281cbb19fffff,1.0
88281cbb53fffff,1.0
88281cba2dfffff,1.0
88281cba27fffff,1.0
88281cb1cbfffff,1.0
88281cb023fffff,1.0
88281cb035fffff,1.0
88281cb1c1fffff,1.0
88281cb1c9fffff,1.0
88281cb027fffff,1.0
88281ca851fffff,1.0
88281ca853fffff,1.0
88281caaa5fffff,1.0
88281caaadfffff,1.0
88281ca85bfffff,1.0
88281ca857fffff,1.0
88281ca819fffff,0.8
88281caaabfffff,1.0
88281caa81fffff,1.0
88281caa85fffff,1.0
88281ca115fffff,1.0
88281ca11bfffff,1.0
88281ca11dfffff,1.0
88281ca119fffff,1.0
88281ca111fffff,1.0
88281c15dbfffff,1.0
88281c14e7fffff,1.0
88281c14e1fffff,1.0
88281c14a9fffff,1.0
88281c14e3fffff,1.0
88281c14e5fffff,1.0
88281c1609fffff,1.0
88281c1607fffff,1.0
88281c1603fffff,1.0
88281c1601fffff,1.0
88281c160dfffff,1.0
88281c1605fffff,1.0
88281c160bfffff,1.0
88281c8f1bfffff,1.0
88281c8e21fffff,1.0
88281c8f19fffff,1.0
88281c8e2dfffff,1.0
88281c8f53fffff,1.0
88281c8e25fffff,1.0
88281c8e27fffff,1.0
88281ca223fffff,1.0
88281ca23dfffff,0.4
88281ca221fffff,1.0
88281ca207fffff,0.2
88281ca205fffff,0.6000000000000001
88281ca229fffff,1.0
88281ca22bfffff,0.8
88281ca36bfffff,1.0
88281cba93fffff,1.0
88281ca341fffff,1.0
88281ca347fffff,1.0
88281ca345fffff,1.0
88281ca369fffff,1.0
88281ca34dfffff,1.0
88281c1691fffff,1.0
88281c16bbfffff,1.0
88281c1697fffff,1.0
88281cab6dfffff,1.0
88281c1695fffff,1.0
88281c1693fffff,1.0
88281cab69fffff,1.0
88281c8eb9fffff,1.0
88281c8e97fffff,1.0
88281c8eb1fffff,1.0
88281c8e95fffff,1.0
88281cbb6dfffff,1.0
88281c8ebbfffff,1.0
88281c8eb3fffff,1.0
88281c8421fffff,1.0
88281c8429fffff,1.0
88281c8405fffff,1.0
88281c8423fffff,1.0
88281c842bfffff,1.0
88281c8407fffff,1.0
88281c843dfffff,1.0
88281c171bfffff,1.0
88281c1627fffff,1.0
88281c1713fffff,1.0
88281c144dfffff,1.0
88281c1719fffff,1.0
88281c1625fffff,1.0
88281c1711fffff,1.0
88281caf49fffff,1.0
88281ca1a7fffff,1.0
88281ca1a1fffff,1.0
88281caf4dfffff,1.0
88281ca1a3fffff,1.0
88281ca1a5fffff,1.0
88281caa9bfffff,1.0
88281c8435fffff,1.0
88281c85cbfffff,1.0
88281c85c9fffff,1.0
88281c8427fffff,1.0
88281c85c1fffff,1.0
88281cab1dfffff,1.0
88281cab15fffff,1.0
88281cab03fffff,1.0
88281cab11fffff,1.0
88281cab57fffff,1.0
88281cab0bfffff,1.0
88281cab19fffff,1.0
88281cbb33fffff,1.0
88281cb959fffff,1.0
88281cb867fffff,1.0
88281cb861fffff,1.0
88281cb865fffff,1.0
88281cb86dfffff,1.0
88281cb95bfffff,1.0
88281c146bfffff,1.0
88281c1463fffff,1.0
88281c140dfffff,1.0
88281c1461fffff,1.0
88281c1467fffff,1.0
88281c1405fffff,1.0
88281c1429fffff,1.0
88281c8cbdfffff,1.0
88281c8cabfffff,1.0
88281c8c83fffff,1.0
88281c8c87fffff,1.0
88281c8c81fffff,1.0
88281c8cb9fffff,1.0
88281c8c85fffff,1.0
88281caa01fffff,1.0
88281caa1dfffff,1.0
88281caa39fffff,1.0
88281caa15fffff,1.0
88281caa03fffff,1.0
88281caa07fffff,1.0
88281caa0bfffff,1.0
88281cb00bfffff,1.0
88281cb009fffff,1.0
88281cb055fffff,1.0
88281cb043fffff,1.0
88281cb047fffff,1.0
88281cb001fffff,1.0
88281cb00dfffff,1.0
88281cbad7fffff,1.0
88281cba91fffff,1.0
88281cbad3fffff,1.0
88281cba9dfffff,1.0
88281cba99fffff,1.0
88281cb1a5fffff,1.0
88281cba9bfffff,1.0
88281cb121fffff,1.0
88281cb13dfffff,1.0
88281cb123fffff,1.0
88281cb127fffff,1.0
88281cb12bfffff,1.0
88281cb23dfffff,1.0
88281cb231fffff,0.6000000000000001
88281cb239fffff,0.4
88281cb223fffff,1.0
