timestep,scenario,action,free_energy,expected_free_energy,belief_entropy,belief_0,belief_1,belief_2,belief_3
0,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
1,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
2,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
3,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
4,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
5,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
6,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
7,simple,observe,1.3862943611158907,1.1090354888927125,1.3862943611158907,0.25,0.25,0.25,0.25
