0,1,2,3
0.04999999999999999,0.8499999999999999,0.04999999999999999,0.04999999999999999
0.0034246575342465756,0.9897260273972603,0.0034246575342465756,0.0034246575342465756
0.00020341741253051252,0.9993897477624083,0.00020341741253051252,0.00020341741253051252
1.197260667592548e-05,0.9999640821799722,1.197260667592548e-05,1.197260667592548e-05
7.042947896271461e-07,0.999997887115631,7.042947896271461e-07,7.042947896271461e-07
4.1429187658145556e-08,0.9999998757124371,4.1429187658145556e-08,4.1429187658145556e-08
2.4370113237875717e-09,0.9999999926889659,2.4370113237875717e-09,2.4370113237875717e-09
1.433536082680342e-10,0.999999999569939,1.433536082680342e-10,1.433536082680342e-10
8.432565195650496e-12,0.9999999999747022,8.432565195650496e-12,8.432565195650496e-12
4.960332468147807e-13,0.9999999999985119,4.960332468147807e-13,4.960332468147807e-13
2.917842628326326e-14,0.9999999999999124,2.917842628326326e-14,2.917842628326326e-14
1.7163780166626863e-15,0.999999999999995,1.7163780166626863e-15,1.7163780166626863e-15
1.0096341274486437e-16,0.9999999999999997,1.0096341274486437e-16,1.0096341274486437e-16
5.9390242791096706e-18,1.0,5.9390242791096706e-18,5.9390242791096706e-18
3.493543693593924e-19,1.0,3.493543693593924e-19,3.493543693593924e-19
2.0550257021140727e-20,1.0,2.0550257021140727e-20,2.0550257021140727e-20
1.2088386483023957e-21,1.0,1.2088386483023957e-21,1.2088386483023957e-21
7.110815578249385e-23,1.0,7.110815578249385e-23,7.110815578249385e-23
4.182832693087873e-24,1.0,4.182832693087873e-24,4.182832693087873e-24
2.4604898194634545e-25,1.0,2.4604898194634545e-25,2.4604898194634545e-25
