timestep,action
0,"{'action': 2, 'action_name': 'south', 'efe': 66.5751355448558, 'efe_all': [102.57670921417481, 86.12891795401093, 66.5751355448558, 83.28754049230012, 102.57670921417481], 'policy_distribution': [2.3158753804588847e-16, 3.2203284561722142e-09, 0.9999999315853092, 5.519436259068505e-08, 2.3158753804588847e-16], 'confidence': 0.9999999315853092, 'step': 1}"
1,"{'action': 2, 'action_name': 'south', 'efe': 53.37534095125683, 'efe_all': [110.24365814778994, 92.86544053456525, 53.37534095125683, 88.02649501792105, 110.24365814778994], 'policy_distribution': [2.0063358902473016e-25, 7.074042371979963e-18, 0.9999999899999993, 8.937066570542243e-16, 2.0063358902473016e-25], 'confidence': 0.9999999899999993, 'step': 2}"
2,"{'action': 2, 'action_name': 'south', 'efe': 44.08716100203596, 'efe_all': [113.4200936268323, 99.0027075343846, 44.08716100203596, 92.95376307203921, 113.4200936268323], 'policy_distribution': [7.746222057195608e-31, 1.4141033983364915e-24, 0.9999999900000002, 5.991069632383611e-22, 7.746222057195608e-31], 'confidence': 0.9999999900000002, 'step': 3}"
3,"{'action': 2, 'action_name': 'south', 'efe': 38.07257869119197, 'efe_all': [115.09163306835703, 103.23722672464591, 38.07257869119197, 96.75993870597716, 115.09163306835703], 'policy_distribution': [3.5567200099069486e-34, 5.0044106489355125e-29, 0.9999999900000002, 3.253893870123052e-26, 3.5567200099069486e-34], 'confidence': 0.9999999900000002, 'step': 4}"
4,"{'action': 2, 'action_name': 'south', 'efe': 34.511811369809614, 'efe_all': [116.07487766371705, 105.64528233599091, 34.511811369809614, 99.40865963219618, 116.07487766371705], 'policy_distribution': [3.781032210360535e-36, 1.279752764619466e-31, 0.9999999900000002, 6.541192082305218e-29, 3.781032210360535e-36], 'confidence': 0.9999999900000002, 'step': 5}"
5,"{'action': 2, 'action_name': 'south', 'efe': 32.71063681095118, 'efe_all': [116.62756721045663, 106.56998072883032, 32.71063681095118, 101.13434646156824, 116.62756721045663], 'policy_distribution': [3.5920319000984224e-37, 8.380974034089791e-33, 0.9999999900000002, 1.9229166639810923e-30, 3.5920319000984224e-37], 'confidence': 0.9999999900000002, 'step': 6}"
6,"{'action': 2, 'action_name': 'south', 'efe': 32.217538852501406, 'efe_all': [116.87206328236583, 106.31000850473255, 32.217538852501406, 102.15473934983348, 116.87206328236583], 'policy_distribution': [1.7179367398575135e-37, 6.638183830502084e-33, 0.9999999900000002, 4.233111811704003e-31, 1.7179367398575135e-37], 'confidence': 0.9999999900000002, 'step': 7}"
7,"{'action': 2, 'action_name': 'south', 'efe': 32.73246240045623, 'efe_all': [116.89041507629443, 105.16590714640158, 32.73246240045623, 102.60292731696052, 116.89041507629443], 'policy_distribution': [2.8227053101890315e-37, 3.487824606204991e-32, 0.9999999900000002, 4.525250597634429e-31, 2.8227053101890315e-37], 'confidence': 0.9999999900000002, 'step': 8}"
