resolution,cell,area_km2,edge_length_km
0,8029fffffffffff,4106166.3344639163,1257.1651279870705
1,81283ffffffffff,595741.1617887181,478.8537147021393
2,822837fffffffff,89801.2354136267,185.91533456499013
3,832830fffffffff,12833.417729721674,70.28217972752279
4,8428309ffffffff,1839.646411473757,26.60977703624619
5,85283083fffffff,262.8086000037041,10.057588046096912
6,86283082fffffff,37.52504174735086,3.800446724108888
7,872830828ffffff,5.360721068516899,1.4364339529911634
8,8828308281fffff,0.7658173122144916,0.5429210079788234
9,89283082803ffff,0.10940247351409498,0.20520485298578042
10,8a283082800ffff,0.01562861231244619,0.07755936876849505
11,8b283082800bfff,0.0022326464100903523,0.029314603935819163
12,8c283082800b3ff,0.00031894857610739974,0.011079863003763632
13,8d283082800b3bf,4.556412916763471e-05,0.00418779673498486
14,8e283082800b397,6.50916269023768e-06,0.001582838553866185
15,8f283082800b390,9.298803837270099e-07,0.0005982567396800706
