timestep,free_energy,timestamp
0,-0.37558918700287136,1768000869.367529
1,0.3137408912024363,1768000869.369261
2,0.44222671788747536,1768000869.370922
3,0.46214834338998334,1768000869.372745
4,0.4652702753650647,1768000869.374728
5,0.46576524326845914,1768000870.448422
6,0.46584351107279176,1768000870.450312
7,0.46585575800992995,1768000870.452157
8,0.46585764153655085,1768000870.4539342
9,0.465857921112821,1768000870.455891
10,0.46585796070593877,1768000871.016049
11,0.4658579661850638,1768000871.018091
12,0.46585796693967174,1768000871.019827
13,0.46585796704353,1768000871.021552
14,0.4658579670578227,1768000871.023257
15,0.46585796705978966,1768000871.57138
16,0.46585796706006044,1768000871.5731041
17,0.4658579670600975,1768000871.574733
18,0.46585796706010285,1768000871.576587
19,0.4658579670601035,1768000871.5781271
