timestep,free_energy,timestamp
0,-1.5643021462402122,1768001192.641423
1,-1.4091598108251358,1768001192.645353
2,-1.2123495734826903,1768001192.648621
3,-1.015959707413787,1768001192.652137
4,-0.8522512139751508,1768001192.655787
5,-0.7361119819802027,1768001192.6593301
6,-0.6343271755535458,1768001192.662539
7,-0.560163719950417,1768001192.666166
8,-0.5282194242966729,1768001192.6698618
9,-0.45374731618851105,1768001192.673486
10,-0.38640593489905717,1768001192.677145
11,-0.3306883700585701,1768001192.680803
12,-0.3082281740032433,1768001192.684257
13,-0.2881360272530167,1768001192.687642
14,-0.2734186835223271,1768001192.690772
15,-0.2597779765538464,1768001192.694009
16,-0.23721295376514662,1768001192.697831
17,-0.24008005274688649,1768001192.701052
18,-0.24399657014664822,1768001192.7043252
19,-0.23528613183116387,1768001192.7078102
20,-0.23299129865061308,1768001192.711079
21,-0.23413543258828096,1768001192.714429
22,-0.23640067904118234,1768001192.718261
23,-0.238613765882848,1768001192.7217128
24,-0.24014528450227357,1768001192.7255628
25,-0.24741410565720368,1768001192.7293272
26,-0.24236368033534594,1768001192.733046
27,-0.23950140328108094,1768001192.736623
28,-0.23769950864683254,1768001192.7402549
29,-0.24507261788775603,1768001192.7434409
30,-0.24002236520304066,1768001192.7471008
31,-0.2499715227192445,1768001192.750529
32,-0.24587319460237822,1768001192.753702
33,-0.2591685240772883,1768001192.7575018
34,-0.2537375573182554,1768001192.7610428
35,-0.261713399577832,1768001192.764695
36,-0.2916779756586758,1768001192.768554
37,-0.2829217204130843,1768001192.772268
38,-0.29524211279497115,1768001192.7759428
39,-0.31117751157357154,1768001192.78018
