timestep,action
0,0
1,1
2,1
3,0
4,2
5,1
6,2
7,1
8,1
9,2
10,2
11,2
12,0
13,2
14,1
15,2
16,1
17,1
18,0
19,2
20,1
21,2
22,2
23,1
24,0
25,1
26,2
27,0
28,1
29,1
30,2
31,0
32,1
33,1
34,2
35,1
36,0
37,0
38,0
39,0
