timestep,free_energy,timestamp
0,0.0792449077066244,1752755023.2069063
1,0.14919439571754828,1752755023.2110977
2,0.22796417948859377,1752755023.213348
3,0.17258234288033414,1752755023.21812
4,0.14114149599155928,1752755023.2230577
5,0.19567983687315527,1752755023.2253544
6,0.26048338887677347,1752755023.229551
7,0.22253181904310618,1752755023.2336783
8,0.20301581615327907,1752755023.2382128
9,0.24792072908272894,1752755023.2437148
10,0.30035206039105067,1752755023.2479017
11,0.2713129165134835,1752755023.254714
12,0.2580390350602966,1752755023.2585752
