timestep,free_energy,timestamp
0,-1.5169030716991525,1768001103.376033
1,-1.382359283013716,1768001103.3801558
2,-1.2348233769577281,1768001103.385395
3,-1.080368800092649,1768001103.389648
4,-0.9351824203798007,1768001103.3938172
5,-0.7813286225023617,1768001103.398218
6,-0.6305978865639867,1768001103.402139
7,-0.5119435471916485,1768001103.4059992
8,-0.46379005421303443,1768001103.41043
9,-0.4132739859718537,1768001103.414565
10,-0.37333732058487534,1768001103.4186182
11,-0.3342805818627914,1768001103.423048
12,-0.31883873813072006,1768001103.427503
13,-0.2829832581067422,1768001103.431073
14,-0.2652532961131262,1768001103.4346051
15,-0.26393050943307705,1768001103.438386
16,-0.24971703691949876,1768001103.4421492
17,-0.2497764831703304,1768001103.445968
18,-0.260188798407877,1768001103.450117
19,-0.24634570132101796,1768001103.45383
20,-0.25839337501732595,1768001103.457668
21,-0.250504180779326,1768001103.4611251
22,-0.23696193098131313,1768001103.46467
23,-0.24631403939372398,1768001103.469534
24,-0.23786928343572744,1768001103.4734678
25,-0.2376562406063567,1768001103.477312
26,-0.2421955495551571,1768001103.481035
27,-0.23910708253822643,1768001103.4846878
28,-0.24982910316015872,1768001103.488972
29,-0.26096476978133665,1768001103.4928901
30,-0.2560052836653244,1768001103.496547
31,-0.27910233335525025,1768001103.5002508
32,-0.2825629562426979,1768001103.5038311
33,-0.3046131788341828,1768001103.507694
34,-0.3217459259005846,1768001103.51124
35,-0.33667982086611814,1768001103.5149498
36,-0.3469609148161903,1768001103.518841
37,-0.30347353082573547,1768001103.5224519
38,-0.3187269809736537,1768001103.526
39,-0.32528688054949506,1768001103.529918
